 Choosen Shells
 Item  (n,l, j ) 
  1    (1,0,1/2)
  2    (0,1,3/2)

a b c d  (J T)  =  <ab|V(SDI)|cd>   <ab|V(SDI)|cd>(C!=0)  <ab|V(MSDI)|cd>
-------------------------------------------------------------------------------

1 1 1 1  (0 1)  =  -1.0000000             -2.0000000         -0.0000000
1 1 1 1  (1 0)  =  -1.0000000             2.0000000         -0.0000000



1 1 2 2  (0 1)  =  1.4142136             2.8284271         1.4142136
1 1 2 2  (1 0)  =  1.0540926             -2.1081851         1.0540926


1 2 1 2  (1 0)  =  -0.6666667             1.3333333         0.3333333
1 2 1 2  (1 1)  =  -1.3333333             -2.6666667         -0.3333333
1 2 1 2  (2 0)  =  -2.0000000             4.0000000         -1.0000000

1 2 2 1  (1 0)  =  0.6666667             -1.3333333         -0.3333333
1 2 2 1  (1 1)  =  -1.3333333             -2.6666667         -0.3333333
1 2 2 1  (2 0)  =  -2.0000000             4.0000000         -1.0000000



2 1 1 2  (1 0)  =  0.6666667             -1.3333333         -0.3333333
2 1 1 2  (1 1)  =  -1.3333333             -2.6666667         -0.3333333
2 1 1 2  (2 0)  =  -2.0000000             4.0000000         -1.0000000

2 1 2 1  (1 0)  =  -0.6666667             1.3333333         0.3333333
2 1 2 1  (1 1)  =  -1.3333333             -2.6666667         -0.3333333
2 1 2 1  (2 0)  =  -2.0000000             4.0000000         -1.0000000


2 2 1 1  (0 1)  =  1.4142136             2.8284271         1.4142136
2 2 1 1  (1 0)  =  1.0540926             -2.1081851         1.0540926



2 2 2 2  (0 1)  =  -2.0000000             -4.0000000         -1.0000000
2 2 2 2  (1 0)  =  -1.2000000             2.4000000         -0.2000000
2 2 2 2  (2 1)  =  -0.4000000             -0.8000000         0.6000000
2 2 2 2  (3 0)  =  -1.2000000             2.4000000         -0.2000000
